cell_id;red;green;blue
2;5.0508;1.3559;427.9153
3;7.6471;21.8055;729.5388
4;11.1890;1.1890;223.3622
5;7.4030;1.8358;415.9104
6;5.2294;1.2844;263.7523
7;66.5833;7.8333;375.9167
8;26.9890;4.4725;342.2527
9;36.3711;2.8660;172.7526
10;5.5621;1.3077;343.5917
12;25.2376;2.2612;351.5953
11;3.1321;1.2264;334.5094
13;14.9091;2.2727;113.9091
14;6.6815;0.8741;236.3630
15;20.5833;5.6875;190.6562
16;8.2083;3.7500;102.0417
17;10.9792;1.7292;188.2500
18;4.6857;1.3238;268.0667
19;7.8947;1.3816;563.8816
20;9.5774;1.7024;335.7560
21;8.8085;1.2340;248.9504
22;26.6000;2.8000;421.6000
23;12.9356;1.6524;252.4592
24;10.5689;1.3956;320.5289
26;19.5684;1.8703;227.8526
25;8.1000;1.1500;160.6833
27;21.3429;1.8857;157.5143
28;7.1798;1.2281;230.7719
29;3.1852;1.8148;409.7407
30;10.0000;1.8571;47.0000
31;22.7920;2.0633;186.3526
32;3.1053;1.3158;261.7368
33;7.8462;1.2431;250.0338
34;9.4136;1.3455;331.8586
36;4.9112;1.3178;312.9860
35;8.7500;2.7582;295.6803
37;4.3448;0.9483;157.1207
39;10.0680;1.5340;199.6214
38;27.2143;2.2143;121.4286
40;7.3048;1.7669;217.8984
42;5.4038;1.1731;264.2115
41;27.5369;2.2931;165.2237
43;7.2850;1.7098;191.7150
45;6.3478;1.2609;232.0870
46;2.9242;1.3788;333.4545
44;16.6296;1.1481;49.5556
47;3.9330;1.4022;159.9385
48;5.2876;1.6209;604.5490
49;13.7143;4.7143;85.0000
50;8.6250;3.1250;210.3750
51;3.9154;2.0846;374.7279
52;12.9149;2.3059;242.2154
54;3.5417;1.7639;284.1111
53;4.9045;15.8105;520.7496
55;5.9975;1.1995;351.8409
56;11.3529;2.4052;255.4902
57;14.8372;2.5349;157.4341
58;4.1324;0.6176;188.6471
59;5.3167;1.2133;327.9767
60;7.5000;1.9130;340.2174
61;5.0993;16.1986;181.4113
62;5.0687;1.0458;161.0916
63;8.8247;3.1895;347.7180
64;13.7333;1.3333;241.2000
66;4.4008;19.6101;676.0181
65;4.3520;1.2240;243.0800
68;4.1552;0.8966;223.0862
67;3.2105;1.3534;199.1504
69;5.0204;1.2517;231.2449
71;3.7614;1.3864;386.6136
70;9.9514;2.5000;258.8219
72;5.1757;1.1486;436.5811
73;2.6044;21.8828;656.1306
74;21.2500;3.6071;169.4643
75;4.6364;1.1818;319.0545
76;9.3488;0.7674;55.0000
77;1.8198;1.3243;222.3243
78;14.8333;2.1905;239.5238
80;19.5217;1.4783;271.7826
79;11.5000;1.5294;256.2353
81;3.5833;2.0833;127.9167
82;2.4545;1.5273;195.5455
83;8.1081;1.6486;347.2973
84;1.8299;1.1753;230.0825
85;6.7119;1.3559;132.4746
